A,nu,a,at,dt,dtt,taut,n_steps,arm,seed,A_hat,xc_hat,nu_hat,fit_rms,at_bound,l2_vs_exact,runtime_s
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,two_speed,3,0.9999855167291245,1.9734638441041232,0.5200361442283938,0.0014813238397139623,0,0.04069739866245005,0.2600519881483966
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,two_speed,3,0.9998990016788277,1.95390013041487,0.528829913401441,0.0015732043251394066,0,0.0649564118276448,0.2600519881483966
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,two_speed,4,0.9999574688176313,1.9857086847665126,0.5000370188400971,0.0015130674010723091,0,0.01809601715400145,0.2594752321352384
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,two_speed,4,0.9998815771479026,1.9597476692184765,0.5056019366944247,0.0017940189916065493,0,0.047809669441027,0.2594752321352384
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,two_speed,4,1.000251490726532,1.939435039337675,0.5195598690899201,0.002758004731580358,0,0.07500343545857448,0.2594752321352384
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,two_speed,4,1.0005208639046554,1.934979562482521,0.5155018925855034,0.0038452867219825014,0,0.07937869348947343,0.2594752321352384
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,two_speed,4,1.0000293588520084,1.9306488191236522,0.5175694042222083,0.0016700149094506158,0,0.08297976284248991,0.2594752321352384
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,two_speed,4,1.000038238069636,1.9484634748265868,0.5115955045749896,0.0018272375607488094,0,0.06167142096810774,0.2594752321352384
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,two_speed,4,0.9999368443392822,1.9674016461637267,0.514661225776085,0.0015185492615904714,0,0.0426448578088691,0.2594752321352384
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,two_speed,5,1.000187420847137,2.0043578925418304,0.5060605448209046,0.0011818976306893305,0,0.010781204676145024,0.2598887797212228
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,two_speed,5,1.000300271714991,2.0062995461723623,0.5108687294758915,0.002131746894828197,0,0.018664695756527024,0.2598887797212228
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,two_speed,5,1.0004382564097583,2.005181378175888,0.5136394523084998,0.002215180774859427,0,0.021059654125700485,0.2598887797212228
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,two_speed,5,0.9996923384492652,2.0019356085948448,0.5113185304374845,0.0017951960142873864,0,0.017898357006932646,0.2598887797212228
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,two_speed,5,1.0000583068994817,2.003692096266702,0.5191287708789989,0.0016316375944918971,0,0.02635015847070088,0.2598887797212228
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,two_speed,5,1.000111386557605,2.0154964713284444,0.5251609066385913,0.0017478179575816193,0,0.03790540825259783,0.2598887797212228
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,two_speed,5,1.0000898944432808,2.049194492145886,0.5322649591164688,0.0020129826461372795,0,0.07006743177522687,0.2598887797212228
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,two_speed,6,1.0002936312626296,2.0071735849816092,0.5114679215643226,0.002070765612695253,0,0.01949456501280603,0.2595302321548973
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,two_speed,6,1.0002170584448238,2.018716782175165,0.5121079837358337,0.0015544716662332764,0,0.027528837487471484,0.2595302321548973
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,two_speed,6,1.000140413380499,2.0304251375877,0.507136416743727,0.001960700147022,0,0.03745254483994536,0.2595302321548973
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,two_speed,6,0.9997797566152679,2.0160197948066108,0.49773588134933744,0.001802842025668273,0,0.020704870105942862,0.2595302321548973
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,two_speed,6,0.9998719136509483,2.020059423858587,0.5043317018213525,0.003173419768018563,0,0.028438653267533556,0.2595302321548973
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,two_speed,6,1.0002136339364291,2.039195369767453,0.5246032467181719,0.002743418786555925,0,0.05652014111976919,0.2595302321548973
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,two_speed,6,0.9998885628304958,2.0118113366617503,0.5256132639107784,0.0028676349250282896,0,0.03878769206538959,0.2595302321548973
